Tour;Distance_diminué;d ;Capacité C2 sans C1 et C1 débranchépF;;C1  pF;C2 sans C1 et C1 branché;C2 avec C1 pF;;distance_ref;;Modele : d=K*C1;Erreur;Somme erreur;K;K1;;Delta C2 1;Delta C2 2;C2 avce C1 (2);C1 (2);C2 avce C1 (3);C1(3);deltad/sE2;C1;C2;1/C2;;a ;b = ;1/C2 - 1/C1;reconstruit;erreur;a moy;b moy;;C2 (4)
0,00;0,00;6,00;2,15;;1,07;0,32;0,23;;36,93;;3,881786755;4,49;41,95;-2,546924216;6,606995667;;0,00;0,00;0,17;1,16;0,17;1,167;2,297676103;1,13;0,19;3,154574132;;0;4,380025719;4,380025719;4,652584199;3,317798121;0,263040889;3,074338867;;0,765
0,13;0,50;5,50;2,16;;1,07;0,32;0,23;;;;3,881786755;2,62;;;;;0,01;0,00;0,17;1,16;0,17;1,167;2,297676103;1,13;0,19;3,154574132;;0,172693097;3,430213688;4,380025719;4,521063754;3,347825444;0,263040889;3,074338867;;0,765
0,25;1,00;5,00;2,17;;1,08;0,32;0,24;;;;3,856317513;1,31;;;;;0,02;0,00;0,17;1,164;0,17;1,17;2,289953233;1,14;0,19;3,144654088;;0,26189882;2,984185072;4,293679171;4,38954331;3,271352366;0,263040889;3,074338867;;0,77
0,38;1,50;4,50;2,19;;1,09;0,32;0,25;;;;3,830848271;0,45;;;;;0,04;0,01;0,172;1,175;0,174;1,18;2,238962126;1,15;0,20;3,086419753;;0,152580022;3,476119661;4,162729761;4,258022866;3,139837786;0,263040889;3,074338867;;0,778
0,50;2,00;4,00;2,20;;1,10;0,33;0,26;;;;3,805379029;0,04;;;;;0,05;0,01;0,174;1,183;0,175;1,189;2,235880184;1,16;0,20;3,076923077;;0,04591449;3,902781788;4,08643975;4,126502421;3,076635942;0,263040889;3,074338867;;0,781
0,63;2,50;3,50;2,21;;1,15;0,33;0,26;;;;3,678032818;0,03;;;;;0,06;0,01;0,175;1,194;0,175;1,2;2,187814703;1,18;0,20;3,021148036;;0,396701852;2,675026024;4,063482505;3,994981977;3,080340096;0,263040889;3,074338867;;0,786
0,75;3,00;3,00;2,23;;1,16;0,34;0,27;;;;3,662751272;0,44;;;;;0,08;0,02;0,183;1,248;0,183;1,244;2,128692799;1,22;0,21;2,93255132;;0,33040541;2,873915349;3,865131579;3,863461533;2,865563659;0,263040889;3,074338867;;0,79
0,88;3,50;2,50;2,26;;1,24;0,36;0,29;;;;3,446262714;0,90;;;;;0,11;0,04;0,192;1,349;0,191;1,301;2,040349256;1,30;0,22;2,808988764;;0,173713289;3,265645651;3,699928874;3,731941089;2,691276758;0,263040889;3,074338867;;0,805
1,00;4,00;2,00;2,29;;1,30;0,36;0,30;;;;3,295994185;1,68;;;;;0,14;0,05;0,199;1,41;0,196;1,373;2,018920628;1,36;0,23;2,747252747;;0,195080285;3,222911659;3,613072229;3,600420644;2,616573844;0,263040889;3,074338867;;0,811
1,13;4,50;1,50;2,30;;1,40;0,38;0,30;;;;3,041301764;2,38;;;;;0,15;0,07;0,208;1,52;0,207;1,49;1,946660108;1,47;0,24;2,617801047;;0,266230442;3,116186424;3,515532087;3,4689002;2,528796619;0,263040889;3,074338867;;0,819
1,25;5,00;1,00;2,35;;1,55;0,39;0,32;;;;2,659263131;2,75;;;;;0,20;0,08;0,219;1,669;0,21;1,597;1,91189699;1,61;0,25;2,538071066;;0,323165706;3,05925116;3,382416866;3,337379756;2,395731934;0,263040889;3,074338867;;0,832
1,38;5,50;0,50;2,39;;1,84;0,42;0,34;;;;1,93338973;2,05;;;;;0,24;0,10;0,237;1,907;0,22;1,78;1,847840801;1,84;0,27;2,409638554;;0,367904421;3,036881802;3,220834013;3,205859311;2,225483337;0,263040889;3,074338867;;0,852
1,50;6,00;0,00;2,57;;2,01;0,43;0,36;;;;1,487677992;2,21;;;;;0,42;0,11;0,252;2,124;0,243;1,957;1,809199411;2,03;0,28;2,320185615;;0,279691814;3,036881802;3,036881802;3,074338867;2,024547748;0,263040889;3,074338867;;0,867
1,63;6,50;-0,50;2,60;;2,23;0,46;0,37;;;;0,932448513;2,05;;;;;0,45;0,14;0,27;2,387;0,256;2,146;1,726999232;2,25;0,30;2,192982456;;0,491105621;3,142588706;2,897035895;2,942818423;1,881232664;0,263040889;3,074338867;;0,922
1,75;7,00;-1,00;2,70;;2,68;0,49;0,40;;;;-0,213667385;0,62;;;;;0,55;0,17;0,305;2,993;0,288;2,58;1,661583429;2,75;0,33;2,049180328;;0,575905382;3,227388467;2,651483085;2,811297978;1,591209311;0,263040889;3,074338867;;0,93
1,88;7,50;-1,50;3,09;;3,67;0,53;0,46;;;;-2,742763132;1,54;;;;;0,94;0,21;0,35;3,6;0,321;3,11;1,565249044;3,46;0,38;1,886792453;;0,030014382;2,408551967;2,363530394;2,679777534;1,229727528;0,263040889;3,074338867;;0,972
