timestamp(ms),C1 (pf),C2 (pf),C2-C1 (pf),
"1780496274.272","7.747",,,
"1780496274.292",,"7.119","-0.628",
"1780496274.307","7.841",,,
"1780496274.328",,"7.166","-0.675",
"1780496274.344","7.853",,,
"1780496274.364",,"7.202","-0.651",
"1780496274.38","7.868",,,
"1780496274.399",,"7.206",,
"1780496274.4",,,"-0.662",
"1780496274.416","7.923",,,
"1780496274.436",,"7.21","-0.713",
"1780496274.452","7.968",,,
"1780496274.472",,"7.216","-0.752",
"1780496274.488","8.025",,,
"1780496274.507",,"7.289",,
"1780496274.508",,,"-0.736",
"1780496274.524","8.166",,,
"1780496274.544",,"7.324","-0.842",
"1780496274.559","8.314",,,
"1780496274.58",,"7.302","-1.012",
"1780496274.596","9.174",,,
"1780496274.616",,"7.418","-1.756",
"1780496274.632","11.62",,,
"1780496274.652",,"7.538","-4.082",
"1780496274.668","20.983",,,
"1780496274.688",,"7.797","-13.186",
"1780496274.703","27.086",,,
"1780496274.724",,"7.897","-19.189",
"1780496274.74","30.114",,,
"1780496274.76",,"8.134","-21.98",
"1780496274.776","30.114",,,
"1780496274.796",,"4.651","-25.463",
"1780496274.812","30.114",,,
"1780496274.832",,"4.656","-25.458",
"1780496274.848","30.114",,,
"1780496274.868",,"4.67","-25.444",
"1780496274.884","30.114",,,
"1780496274.903",,"4.678","-25.436",
"1780496274.919","30.114",,,
"1780496274.939",,"4.709","-25.405",
"1780496274.955","30.114",,,
"1780496274.975",,"4.728","-25.386",
"1780496274.991","30.114",,,
"1780496275.011",,"4.772","-25.342",
"1780496275.027","30.114",,,
"1780496275.047",,"4.74","-25.374",
"1780496275.064","30.114",,,
"1780496275.083",,"4.734","-25.38",
"1780496275.1","30.114",,,
"1780496275.12",,"4.806","-25.308",
"1780496275.136","30.114",,,
"1780496275.155",,"4.778",,
"1780496275.156",,,"-25.336",
"1780496275.172","30.114",,,
"1780496275.192",,"4.778","-25.336",
"1780496275.208","30.114",,,
"1780496275.228",,"4.772","-25.342",
"1780496275.244","30.114",,,
"1780496275.264",,"4.709","-25.405",
"1780496275.28","30.114",,,
"1780496275.299",,"4.767",,
"1780496275.3",,,"-25.347",
"1780496275.316","30.114",,,
"1780496275.336",,"4.735","-25.379",
"1780496275.352","30.114",,,
"1780496275.371",,"4.74",,
"1780496275.372",,,"-25.374",
"1780496275.388","30.114",,,
"1780496275.408",,"4.4","-25.714",
"1780496275.424","11.875",,,
"1780496275.444",,"3.374","-8.501",
"1780496275.46","7.796",,,
"1780496275.48",,"3.078","-4.718",
"1780496275.496","7.256",,,
"1780496275.516",,"3.301","-3.955",
"1780496275.532","7.063",,,
"1780496275.552",,"6.332","-0.731",
"1780496275.568","6.81",,,
"1780496275.588",,"6.304","-0.506",
"1780496275.604","6.689",,,
"1780496275.624",,"6.284","-0.405",
"1780496275.64","6.621",,,
"1780496275.66",,"6.205","-0.416",
"1780496275.676","6.511",,,
"1780496275.695",,"6.141",,
"1780496275.696",,,"-0.37",
"1780496275.712","6.514",,,
"1780496275.732",,"6.097","-0.417",
"1780496275.748","6.475",,,
"1780496275.767",,"6.132","-0.343",
"1780496275.784","6.437",,,
"1780496275.804",,"6.148","-0.289",
"1780496275.819","6.27",,,
"1780496275.84",,"5.97","-0.3",
"1780496275.856","6.235",,,
"1780496275.876",,"6.107","-0.128",
"1780496275.891","6.187",,,
"1780496275.911",,"6.111",,
"1780496275.912",,,"-0.076",
"1780496275.928","6.194",,,
"1780496275.947",,"6.059",,
"1780496275.948",,,"-0.135",
"1780496275.964","6.135",,,
"1780496275.983",,"6.049",,
"1780496275.984",,,"-0.086",
"1780496276","6.1",,,
"1780496276.019",,"5.972","-0.128",
"1780496276.036","6.048",,,
"1780496276.056",,"5.941","-0.107",
"1780496276.072","6.041",,,
"1780496276.091",,"5.939",,
"1780496276.092",,,"-0.102",
"1780496276.108","6.037",,,
"1780496276.128",,"5.918","-0.119",
"1780496276.144","6.037",,,
"1780496276.164",,"5.96","-0.077",
"1780496276.18","6.19",,,
"1780496276.199",,"6.006",,
"1780496276.2",,,"-0.184",
"1780496276.216","6.168",,,
"1780496276.235",,"5.989",,
"1780496276.236",,,"-0.179",
"1780496276.252","6.137",,,
"1780496276.272",,"6.094","-0.043",
"1780496276.287","6.546",,,
"1780496276.308",,"6.173","-0.373",
"1780496276.324","6.337",,,
"1780496276.344",,"6.131","-0.206",
"1780496276.36","6.235",,,
"1780496276.38",,"6.263","0.028",
"1780496276.396","6.279",,,
"1780496276.415",,"6.576","0.297",
"1780496276.431","6.306",,,
"1780496276.452",,"6.634","0.328",
"1780496276.468","6.289",,,
"1780496276.487",,"6.72","0.431",
"1780496276.504","6.282",,,
"1780496276.523",,"6.724",,
"1780496276.524",,,"0.442",
"1780496276.539","6.306",,,
"1780496276.56",,"6.781","0.475",
"1780496276.576","6.301",,,
"1780496276.596",,"6.904","0.603",
"1780496276.612","6.305",,,
"1780496276.631",,"7.025",,
"1780496276.632",,,"0.72",
"1780496276.648","6.373",,,
"1780496276.668",,"7.161","0.788",
"1780496276.684","6.3",,,
"1780496276.704",,"7.209","0.909",
"1780496276.72","6.312",,,
"1780496276.739",,"7.286","0.974",
"1780496276.756","6.275",,,
"1780496276.776",,"7.353","1.078",
"1780496276.792","6.26",,,
"1780496276.811",,"7.401",,
"1780496276.812",,,"1.141",
