timestamp(ms),C2 (pf),C2-C1 (pf),d (pm),C1 (pf),
"1780496942.059",,,,"5.223",
"1780496942.081","4.589","-0.634","57",,
"1780496942.095",,,,"5.294",
"1780496942.117","4.626","-0.668","55",,
"1780496942.131",,,,"5.386",
"1780496942.153","4.702","-0.684","54",,
"1780496942.167",,,,"5.494",
"1780496942.189","4.725","-0.769","49",,
"1780496942.203",,,,"5.509",
"1780496942.224","4.734","-0.775","48",,
"1780496942.239",,,,"5.519",
"1780496942.261","4.744","-0.775","48",,
"1780496942.275",,,,"5.577",
"1780496942.297","4.778","-0.799","47",,
"1780496942.311",,,,"5.617",
"1780496942.333","4.734","-0.883","42",,
"1780496942.347",,,,"5.683",
"1780496942.368","4.799","-0.884","43",,
"1780496942.383",,,,"5.769",
"1780496942.405","4.846","-0.923","42",,
"1780496942.419",,,,"5.752",
"1780496942.441","4.822","-0.93","41",,
"1780496942.455",,,,"5.827",
"1780496942.477","4.838","-0.989","39",,
"1780496942.492",,,,"5.892",
"1780496942.513","4.89","-1.002","39",,
"1780496942.527",,,,"5.967",
"1780496942.548","4.872","-1.095","35",,
"1780496942.563",,,,"5.972",
"1780496942.585","4.91","-1.062","36",,
"1780496942.599",,,,"6.076",
"1780496942.62","4.908","-1.168","33",,
"1780496942.635",,,,"6.1",
"1780496942.657","4.943","-1.157","34",,
"1780496942.671",,,,"6.148",
"1780496942.692","4.996","-1.152",,,
"1780496942.693",,,"34",,
"1780496942.707",,,,"6.243",
"1780496942.729","4.984","-1.259","31",,
"1780496942.743",,,,"6.293",
"1780496942.764","5.022","-1.271","31",,
"1780496942.78",,,,"6.278",
"1780496942.801","5.042","-1.236","32",,
"1780496942.815",,,,"6.314",
"1780496942.836","5.091",,,,
"1780496942.837",,"-1.223","33",,
"1780496942.851",,,,"6.386",
"1780496942.872","5.144","-1.242","33",,
"1780496942.887",,,,"6.37",
"1780496942.908","5.145","-1.225","33",,
"1780496942.923",,,,"6.488",
"1780496942.944","5.132","-1.356",,,
"1780496942.945",,,"30",,
"1780496942.959",,,,"6.468",
"1780496942.981","5.183","-1.285","32",,
"1780496942.995",,,,"6.488",
"1780496943.016","5.185","-1.303","31",,
"1780496943.031",,,,"6.467",
"1780496943.052","5.161",,,,
"1780496943.053",,"-1.306","31",,
"1780496943.067",,,,"6.476",
"1780496943.089","5.244","-1.232","34",,
"1780496943.103",,,,"6.546",
"1780496943.125","5.26","-1.286","32",,
"1780496943.139",,,,"6.538",
"1780496943.16","5.303",,,,
"1780496943.161",,"-1.235","34",,
"1780496943.175",,,,"6.573",
"1780496943.196","5.275",,,,
"1780496943.197",,"-1.298","32",,
"1780496943.211",,,,"6.52",
"1780496943.233","5.224","-1.296","32",,
"1780496943.247",,,,"6.505",
"1780496943.269","5.234","-1.271","32",,
"1780496943.283",,,,"6.55",
"1780496943.305","5.235","-1.315","31",,
"1780496943.319",,,,"6.509",
"1780496943.34","5.194","-1.315","31",,
"1780496943.355",,,,"6.489",
"1780496943.376","5.188",,,,
"1780496943.377",,"-1.301","31",,
"1780496943.391",,,,"6.46",
"1780496943.412","5.149","-1.311","31",,
"1780496943.427",,,,"6.446",
"1780496943.449","5.172","-1.274","32",,
"1780496943.463",,,,"6.486",
"1780496943.484","5.16","-1.326","31",,
"1780496943.499",,,,"6.392",
"1780496943.521","5.066","-1.326","30",,
"1780496943.535",,,,"6.337",
"1780496943.557","5.042","-1.295","31",,
"1780496943.571",,,,"6.249",
"1780496943.592","4.91","-1.339","29",,
"1780496943.626",,,,"6.049",
"1780496943.628","4.831","-1.218","31",,
"1780496943.645",,,,"5.816",
"1780496943.664","4.714","-1.102","34",,
"1780496943.679",,,,"5.506",
"1780496943.7","4.594",,,,
"1780496943.701",,"-0.912","40",,
"1780496943.715",,,,"5.174",
"1780496943.736","4.458",,,,
