timestamp(ms),C1 (pF),C2 (pF),C1-C2 (pF),Distance d ,ration des c ,ration des  eps,
"1780991636.569","3.287","1.793","1.494",,,,
"1780991636.574",,,,"6.013382",,,
"1780991636.575",,,,,"1.83324","0.626324",
"1780991636.604","3.23","1.797","1.433",,,,
"1780991636.609",,,,"6.283347","1.79744","0.626324",
"1780991636.638","3.251","1.805","1.446",,,,
"1780991636.644",,,,"6.254579","1.801108","0.626324",
"1780991636.673","3.292","1.809","1.483",,,,
"1780991636.679",,,,"6.112045","1.81979","0.626324",
"1780991636.708","3.369",,,,,,
"1780991636.709",,"1.812","1.557",,,,
"1780991636.714",,,,"5.831212","1.859271","0.626324",
"1780991636.744","3.328","1.82","1.508",,,,
"1780991636.749",,,,"6.047268","1.828571","0.626324",
"1780991636.778","3.349",,,,,,
"1780991636.779",,"1.823","1.526",,,,
"1780991636.784",,,,"5.985787","1.837082",,
"1780991636.785",,,,,,"0.626324",
"1780991636.814","3.435","1.825","1.61",,,,
"1780991636.819",,,,"5.67971",,,
"1780991636.82",,,,,"1.882192","0.626324",
"1780991636.849","3.36","1.822","1.538",,,,
"1780991636.854",,,,"5.935827","1.844127",,
"1780991636.855",,,,,,"0.626324",
"1780991636.883","3.341","1.82",,,,,
"1780991636.884",,,"1.521",,,,
"1780991636.889",,,,"5.995582","1.835714","0.626324",
"1780991636.918","3.344",,,,,,
"1780991636.919",,"1.817","1.527",,,,
"1780991636.924",,,,"5.962179","1.840396","0.626324",
"1780991636.954","3.32","1.813","1.507",,,,
"1780991636.959",,,,"6.028007","1.831219","0.626324",
"1780991636.988","3.304","1.807","1.497",,,,
"1780991636.994",,,,"6.048192","1.828445","0.626324",
"1780991637.023","3.25",,,,,,
"1780991637.024",,"1.792","1.458",,,,
"1780991637.029",,,,"6.158425","1.813616",,
"1780991637.03",,,,,,"0.626324",
"1780991637.058","3.163",,,,,,
"1780991637.059",,"1.774","1.389",,,,
"1780991637.064",,,,"6.399418","1.782976",,
"1780991637.065",,,,,,"0.626324",
"1780991637.093","3.088",,,,,,
"1780991637.094",,"1.757","1.331",,,,
"1780991637.099",,,,"6.614284","1.757541",,
"1780991637.1",,,,,,"0.626324",
"1780991637.128","3.02",,,,,,
"1780991637.129",,"1.741","1.279",,,,
"1780991637.134",,,,"6.820519","1.734635","0.626324",
"1780991637.164","2.972","1.731","1.241",,,,
"1780991637.169",,,,"6.988991","1.716927","0.626324",
"1780991637.198","2.932",,,,,,
"1780991637.199",,"1.721","1.211",,,,
"1780991637.204",,,,"7.120753","1.703661",,
"1780991637.205",,,,,,"0.626324",
"1780991637.234","2.973","1.713","1.26",,,,
"1780991637.239",,,,"6.812021","1.735552","0.626324",
"1780991637.268","2.953","1.709","1.244",,,,
"1780991637.274",,,,"6.883523","1.727911","0.626324",
"1780991637.303","2.867",,,,,,
"1780991637.304",,"1.707","1.16",,,,
"1780991637.309",,,,"7.373347","1.679555","0.626324",
"1780991637.338","2.93","1.705","1.225",,,,
"1780991637.344",,,,"6.973927","1.718475","0.626324",
"1780991637.374","2.929","1.707","1.222",,,,
"1780991637.379",,,,"6.99925","1.715876","0.626324",
"1780991637.408","2.929",,,,,,
"1780991637.409",,"1.706","1.223",,,,
"1780991637.414",,,,"6.98943","1.716882","0.626324",
"1780991637.443","2.854","1.708","1.146",,,,
"1780991637.449",,,,"7.467794","1.67096","0.626324",
"1780991637.478","2.859",,,,,,
"1780991637.479",,"1.711","1.148",,,,
"1780991637.484",,,,"7.467879",,,
"1780991637.485",,,,,"1.670953","0.626324",
"1780991637.514","2.933","1.709","1.224",,,,
"1780991637.519",,,,"6.996","1.716208","0.626324",
"1780991637.548","2.856","1.709","1.147",,,,
"1780991637.554",,,,"7.465653","1.671153","0.626324",
"1780991637.583","2.856","1.711","1.145",,,,
"1780991637.589",,,,"7.487445","1.669199","0.626324",
"1780991637.619","2.933","1.711","1.222",,,,
"1780991637.624",,,,"7.01565","1.714202",,
"1780991637.625",,,,,,"0.626324",
"1780991637.653","2.932",,,,,,
"1780991637.654",,"1.71","1.222",,,,
"1780991637.659",,,,"7.011552","1.71462","0.626324",
"1780991637.688","2.93","1.711","1.219",,,,
"1780991637.694",,,,"7.032916","1.712449",,
"1780991637.695",,,,,,"0.626324",
"1780991637.723","2.855",,,,,,
"1780991637.724",,"1.711","1.144",,,,
"1780991637.729",,,,"7.49399","1.668615",,
"1780991637.73",,,,,,"0.626324",
"1780991637.759","2.931","1.713","1.218",,,,
"1780991637.764",,,,"7.046919","1.711033",,
"1780991637.765",,,,,,"0.626324",
"1780991637.793","2.857",,,,,,
"1780991637.794",,"1.712","1.145",,,,
"1780991637.799",,,,"7.491821","1.668808","0.626324",
"1780991637.828","2.93",,,,,,
"1780991637.829",,"1.711","1.219",,,,
"1780991637.834",,,,"7.032916","1.712449","0.626324",
"1780991637.863","2.856","1.711","1.145",,,,
"1780991637.869",,,,"7.487445","1.669199","0.626324",
"1780991637.899","2.857","1.711","1.146",,,,
"1780991637.904",,,,"7.480911","1.669784",,
"1780991637.905",,,,,,"0.626324",
"1780991637.933","2.857","1.712","1.145",,,,
"1780991637.939",,,,"7.491821","1.668808","0.626324",
"1780991637.969","2.931","1.712","1.219",,,,
"1780991637.974",,,,"7.037027","1.712033",,
"1780991637.975",,,,,,"0.626324",
"1780991638.003","2.858","1.712","1.146",,,,
"1780991638.009",,,,"7.485284","1.669393","0.626324",
"1780991638.038","2.859","1.711","1.148",,,,
"1780991638.044",,,,"7.467879","1.670953","0.626324",
"1780991638.074","2.932","1.712","1.22",,,,
"1780991638.079",,,,"7.031259","1.712617","0.626324",
"1780991638.108","2.931","1.712","1.219",,,,
"1780991638.114",,,,"7.037027","1.712033","0.626324",
"1780991638.144","2.857","1.712","1.145",,,,
"1780991638.149",,,,"7.491821","1.668808",,
"1780991638.15",,,,,,"0.626324",
"1780991638.179","2.931","1.712","1.219",,,,
"1780991638.184",,,,"7.037027","1.712033","0.626324",
"1780991638.213","2.932","1.712","1.22",,,,
"1780991638.219",,,,"7.031259","1.712617",,
"1780991638.22",,,,,,"0.626324",
"1780991638.248","2.859",,,,,,
"1780991638.249",,"1.713","1.146",,,,
"1780991638.254",,,,"7.489657","1.669002","0.626324",
"1780991638.284","2.858","1.714","1.144",,,,
"1780991638.289",,,,"7.50713","1.667445","0.626324",
"1780991638.318","2.858","1.714","1.144",,,,
"1780991638.324",,,,"7.50713","1.667445","0.626324",
"1780991638.353","2.857","1.714","1.143",,,,
"1780991638.359",,,,"7.513698","1.666861","0.626324",
"1780991638.388","2.933","1.715","1.218",,,,
"1780991638.394",,,,"7.055145","1.710204","0.626324",
"1780991638.423","2.858","1.715","1.143",,,,
"1780991638.429",,,,"7.518082","1.666472","0.626324",
