timestamp(ms),C1 (pF),C2 (pF),C1-C2 (pF),Distance d ,ration des c ,ration des  eps,écart ,Distance d2 ,
"1781523041.556","1.059","0.152","0.907","6.626835823059082",,,,,
"1781523041.561",,,,,"6.967105","4.894511","-0.626836",,
"1781523041.563",,,,,,,,"6.561991",
"1781523041.597","1.058","0.153","0.905",,,,,,
"1781523041.602",,,,"6.7005743980407715",,,,,
"1781523041.608",,,,,"6.915032","4.894511","-0.700574",,
"1781523041.61",,,,,,,,"6.619759",
"1781523041.644","1.058","0.151","0.907",,,,,,
"1781523041.65",,,,"6.573112487792969",,,,,
"1781523041.655",,,,,"7.006623",,,,
"1781523041.656",,,,,,"4.894511","-0.573112",,
"1781523041.657",,,,,,,,"6.51882",
"1781523041.691","1.058",,,,,,,,
"1781523041.692",,"0.152","0.906",,,,,,
"1781523041.697",,,,"6.6359639167785645",,,,,
"1781523041.702",,,,,"6.960526",,,,
"1781523041.703",,,,,,"4.894511","-0.635964",,
"1781523041.704",,,,,,,,"6.569233",
"1781523041.738","1.058","0.152","0.906",,,,,,
"1781523041.743",,,,"6.6359639167785645",,,,,
"1781523041.749",,,,,"6.960526","4.894511","-0.635964",,
"1781523041.751",,,,,,,,"6.569233",
"1781523041.785","1.059","0.153",,,,,,,
"1781523041.786",,,"0.906",,,,,,
"1781523041.79",,,,"6.69112491607666",,,,,
"1781523041.796",,,,,"6.921569","4.894511","-0.691125",,
"1781523041.798",,,,,,,,"6.612452",
"1781523041.832","1.058","0.153","0.905",,,,,,
"1781523041.838",,,,"6.7005743980407715",,,,,
"1781523041.843",,,,,"6.915032","4.894511","-0.700574",,
"1781523041.845",,,,,,,,"6.619759",
"1781523041.879","1.058","0.153","0.905",,,,,,
"1781523041.884",,,,"6.7005743980407715",,,,,
"1781523041.89",,,,,"6.915032","4.894511",,,
"1781523041.891",,,,,,,"-0.700574",,
"1781523041.892",,,,,,,,"6.619759",
"1781523041.926","1.058","0.152","0.906",,,,,,
"1781523041.931",,,,"6.6359639167785645",,,,,
"1781523041.937",,,,,"6.960526","4.894511","-0.635964",,
"1781523041.939",,,,,,,,"6.569233",
"1781523041.973","1.058","0.152","0.906",,,,,,
"1781523041.978",,,,"6.6359639167785645",,,,,
"1781523041.984",,,,,"6.960526","4.894511",,,
"1781523041.986",,,,,,,"-0.635964","6.569233",
"1781523042.02","1.058","0.153","0.905",,,,,,
"1781523042.025",,,,"6.7005743980407715",,,,,
"1781523042.031",,,,,"6.915032","4.894511",,,
"1781523042.033",,,,,,,"-0.700574","6.619759",
"1781523042.067","1.059","0.153","0.906",,,,,,
"1781523042.072",,,,"6.69112491607666",,,,,
"1781523042.078",,,,,"6.921569","4.894511","-0.691125",,
"1781523042.08",,,,,,,,"6.612452",
"1781523042.114","1.059","0.152","0.907",,,,,,
"1781523042.119",,,,"6.626835823059082",,,,,
