Tour,Distance_diminué,d ,Capacité C2 sans C1 et C1 débranchépF,,C1  pF,C2 sans C1 et C1 branché,C2 avec C1 pF,,distance_ref,,Modele : d=K*C1,Erreur,Somme erreur,K,K1,,Delta C2 1,Delta C2 2,C2 avce C1 (2),C1 (2),C2 avce C1 (3),C1(3)
0.00,0.00,6.00,2.15,,1.07,0.32,0.23,,36.93,,3.88178675508361,4.49,41.95,-2.54692421634792,6.60699566657589,,0.00,0.00,0.17,1.16,0.17,1.167
0.13,0.50,5.50,2.16,,1.07,0.32,0.23,,,,3.88178675508361,2.62,,,,,0.01,0.00,0.17,1.16,0.17,1.167
0.25,1.00,5.00,2.17,,1.08,0.32,0.24,,,,3.85631751292013,1.31,,,,,0.02,0.00,0.17,1.164,0.17,1.17
0.38,1.50,4.50,2.19,,1.09,0.32,0.25,,,,3.83084827075666,0.45,,,,,0.04,0.01,0.172,1.175,0.174,1.18
0.50,2.00,4.00,2.20,,1.10,0.33,0.26,,,,3.80537902859318,0.04,,,,,0.05,0.01,0.174,1.183,0.175,1.189
0.63,2.50,3.50,2.21,,1.15,0.33,0.26,,,,3.67803281777578,0.03,,,,,0.06,0.01,0.175,1.194,0.175,1.2
0.75,3.00,3.00,2.23,,1.16,0.34,0.27,,,,3.66275127247769,0.44,,,,,0.08,0.02,0.183,1.248,0.183,1.244
0.88,3.50,2.50,2.26,,1.24,0.36,0.29,,,,3.44626271408812,0.90,,,,,0.11,0.04,0.192,1.349,0.191,1.301
1.00,4.00,2.00,2.29,,1.30,0.36,0.30,,,,3.29599418532359,1.68,,,,,0.14,0.05,0.199,1.41,0.196,1.373
1.13,4.50,1.50,2.30,,1.40,0.38,0.30,,,,3.0413017636888,2.38,,,,,0.15,0.07,0.208,1.52,0.207,1.49
1.25,5.00,1.00,2.35,,1.55,0.39,0.32,,,,2.65926313123661,2.75,,,,,0.20,0.08,0.219,1.669,0.21,1.597
1.38,5.50,0.50,2.39,,1.84,0.42,0.34,,,,1.93338972957746,2.05,,,,,0.24,0.10,0.237,1.907,0.22,1.78
1.50,6.00,0.00,2.57,,2.01,0.43,0.36,,,,1.48767799171657,2.21,,,,,0.42,0.11,0.252,2.124,0.243,1.957
1.63,6.50,-0.50,2.60,,2.23,0.46,0.37,,,,0.932448512552723,2.05,,,,,0.45,0.14,0.27,2.387,0.256,2.146
1.75,7.00,-1.00,2.70,,2.68,0.49,0.40,,,,-0.21366738480384,0.62,,,,,0.55,0.17,0.305,2.993,0.288,2.58
1.88,7.50,-1.50,3.09,,3.67,0.53,0.46,,,,-2.74276313163732,1.54,,,,,0.94,0.21,0.35,3.6,0.321,3.11
1.75,7.00,-1.00,3.05,,3.73,0.53,0.47,,,,-2.89303166040185,3.58,,,,,0.90,0.22,0.34,3.6,0.319,3.082
1.63,6.50,-0.50,2.75,,3.03,0.51,0.42,,,,-1.11018470895831,0.37,,,,,0.60,0.19,0.324,3.2,0.31,2.93
1.50,6.00,0.00,2.70,,2.57,0.48,0.39,,,,0.0614004305617355,0.00,,,,,0.55,0.16,0.3,2.83,0.2886,2.576
1.38,5.50,0.50,2.60,,2.23,0.46,0.37,,,,0.927354664120028,0.18,,,,,0.45,0.14,0.271,2.35,0.263,2.247
1.25,5.00,1.00,2.40,,1.88,0.43,0.34,,,,1.8136842914091,0.66,,,,,0.25,0.11,0.25,2.07,0.241,1.92
1.13,4.50,1.50,2.34,,1.63,0.40,0.32,,,,2.46314996657782,0.93,,,,,0.19,0.08,0.228,1.774,0.223,1.699
1.00,4.00,2.00,2.32,,1.48,0.38,0.31,,,,2.82736012951558,0.68,,,,,0.17,0.06,0.21,1.63,0.213,1.563
0.88,3.50,2.50,2.30,,1.38,0.38,0.30,,,,3.09224024801576,0.35,,,,,0.15,0.06,0.2,1.49,0.2,1.477
0.75,3.00,3.00,2.26,,1.27,0.36,0.29,,,,3.37240191181403,0.14,,,,,0.11,0.04,0.196,1.37,0.196,1.36
0.63,2.50,3.50,2.23,,1.19,0.35,0.28,,,,3.58124969755456,0.01,,,,,0.08,0.03,0.185,1.26,0.185,1.26
0.50,2.00,4.00,2.22,,1.14,0.34,0.26,,,,3.69331436307387,0.09,,,,,0.07,0.02,0.18,1.219,0.183,1.227
0.38,1.50,4.50,2.20,,1.13,0.33,0.26,,,,3.74170592318448,0.58,,,,,0.05,0.01,0.177,1.2,0.177,1.2
0.25,1.00,5.00,2.18,,1.10,0.33,0.25,,,,3.80537902859318,1.43,,,,,0.03,0.01,0.175,1.185,0.175,1.19
0.13,0.50,5.50,2.16,,1.09,0.32,0.25,,,,3.83084827075666,2.79,,,,,0.01,0.00,0.17,1.175,0.173,1.183
0.00,0.00,6.00,2.15,,1.08,,0.24,,,,3.85631751292013,4.60,,,,,0.00,,0.17,1.16,0.17,1.17
