timestamp(ms),C2 (pf),C1 - C2 (pf),d (pm),C1 (pf),
"1780649778.541",,,,"5.464",
"1780649778.562","5.361","103","416.3883",,
"1780649778.576",,,,"5.584",
"1780649778.598","5.462","122","358.1639",,
"1780649778.613",,,,"5.469",
"1780649778.634","5.419","50","867.04",,
"1780649778.648",,,,"5.443",
"1780649778.67","5.28","163","259.1411",,
"1780649778.685",,,,"5.415",
"1780649778.706","5.227","188","222.4255",,
"1780649778.72",,,,"5.335",
"1780649778.742","5.182","153","270.9543",,
"1780649778.757",,,,"5.299",
"1780649778.778","5.139","160","256.95",,
"1780649778.793",,,,"5.282",
"1780649778.814","5.183","99","418.8283",,
"1780649778.828",,,,"5.321",
"1780649778.85","5.139",,,,
"1780649778.851",,"182","225.8901",,
"1780649778.865",,,,"5.228",
"1780649778.886","5.129",,,,
"1780649778.887",,"99","414.4647",,
"1780649778.9",,,,"5.339",
"1780649778.922","5.28","59","715.9322",,
"1780649778.937",,,,"5.401",
"1780649778.958","5.253","148","283.946",,
"1780649778.972",,,,"5.37",
"1780649778.994","5.282","88","480.1818",,
"1780649779.008",,,,"5.562",
"1780649779.03","5.589",,,,
"1780649779.031",,"-27","-1656",,
"1780649779.044",,,,"5.829",
"1780649779.066","5.714","115","397.4957",,
"1780649779.08",,,,"5.849",
"1780649779.102","5.72","129","354.7287",,
"1780649779.116",,,,"5.854",
"1780649779.139","5.721","133","344.1203",,
"1780649779.153",,,,"5.887",
"1780649779.174","5.787","100","462.96",,
"1780649779.188",,,,"5.943",
"1780649779.21","5.812","131","354.9313",,
"1780649779.224",,,,"5.946",
"1780649779.246","5.808","138","336.6956",,
"1780649779.26",,,,"5.944",
"1780649779.282","5.799","145","319.9448",,
"1780649779.297",,,,"5.924",
"1780649779.318","5.797",,,,
"1780649779.319",,"127","365.1653",,
"1780649779.333",,,,"5.935",
"1780649779.355","5.793","142","326.3662",,
"1780649779.368",,,,"5.923",
"1780649779.39","5.801","122","380.3934",,
"1780649779.404",,,,"5.932",
"1780649779.426","5.792","140","330.9714",,
"1780649779.44",,,,"5.935",
"1780649779.462","5.791","144","321.7222",,
"1780649779.476",,,,"5.928",
"1780649779.498","5.799","129","359.6279",,
"1780649779.512",,,,"5.941",
"1780649779.534","5.798","143","324.3636",,
"1780649779.548",,,,"5.937",
"1780649779.57","5.815","122",,,
"1780649779.571",,,"381.3115",,
"1780649779.584",,,,"5.959",
"1780649779.606","5.835","124","376.4516",,
"1780649779.62",,,,"5.981",
"1780649779.642","5.848","133","351.7594",,
"1780649779.656",,,,"5.991",
"1780649779.678","5.846","145","322.5379",,
"1780649779.693",,,,"5.983",
"1780649779.714","5.852","131","357.3741",,
"1780649779.728",,,,"5.981",
"1780649779.75","5.856","125","374.784",,
"1780649779.764",,,,"5.986",
"1780649779.786","5.851","135","346.7259",,
"1780649779.801",,,,"5.988",
"1780649779.822","5.857","131","357.6794",,
"1780649779.836",,,,"5.981",
"1780649779.858","5.856","125","374.784",,
"1780649779.872",,,,"5.99",
"1780649779.894","5.857","133","352.3008",,
"1780649779.909",,,,"5.988",
"1780649779.93","5.859",,,,
"1780649779.931",,"129","363.3488",,
"1780649779.944",,,,"5.992",
"1780649779.966","5.863","129","363.5969",,
"1780649779.98",,,,"6.011",
"1780649780.002","5.885","126","373.6508",,
"1780649780.016",,,,"6.057",
"1780649780.038","5.93","127","373.5433",,
"1780649780.052",,,,"6.07",
"1780649780.074","5.932","138","343.8841",,
"1780649780.088",,,,"6.059",
"1780649780.11","5.92","139","340.7194",,
"1780649780.124",,,,"6.05",
"1780649780.146","5.912","138","342.7246",,
"1780649780.16",,,,"6.052",
"1780649780.182","5.907","145",,,
"1780649780.183",,,"325.9034",,
"1780649780.197",,,,"6.05",
"1780649780.218","5.91","140","337.7143",,
"1780649780.233",,,,"6.053",
"1780649780.254","5.928","125","379.392",,
"1780649780.269",,,,"6.067",
"1780649780.29","5.924","143","331.4126",,
"1780649780.304",,,,"6.071",
"1780649780.326","5.936","135","351.763",,
"1780649780.34",,,,"6.079",
"1780649780.362","5.937","142","334.4789",,
"1780649780.377",,,,"6.071",
"1780649780.398","5.939","132","359.9394",,
"1780649780.412",,,,"6.076",
"1780649780.434","5.947","129","368.8062",,
"1780649780.448",,,,"6.082",
"1780649780.47","5.947","135","352.4148",,
"1780649780.484",,,,"6.088",
"1780649780.506","5.964","124","384.7742",,
"1780649780.52",,,,"6.108",
"1780649780.542","5.97","138","346.0869",,
"1780649780.556",,,,"6.113",
"1780649780.579","5.976","137","348.9635",,
"1780649780.592",,,,"6.123",
"1780649780.614","5.98",,,,
"1780649780.615",,"143","334.5454",,
"1780649780.628",,,,"6.124",
"1780649780.65","5.992","132","363.1515",,
"1780649780.664",,,,"6.114",
"1780649780.686","5.986","128","374.125",,
"1780649780.701",,,,"6.13",
"1780649780.722","5.989",,,,
"1780649780.723",,"141","339.8014",,
"1780649780.737",,,,"6.131",
"1780649780.758","5.986","145","330.2621",,
"1780649780.772",,,,"6.12",
"1780649780.794","5.986","134","357.3731",,
"1780649780.808",,,,"6.103",
"1780649780.83","5.965","138","345.7971",,
"1780649780.844",,,,"6.081",
"1780649780.866","5.934","147","322.9388",,
"1780649780.88",,,,"6.061",
"1780649780.902","5.91","151","313.1126",,
"1780649780.916",,,,"6.021",
"1780649780.938","5.858",,,,
"1780649780.939",,"163","287.5092",,
"1780649780.952",,,,"5.954",
"1780649780.974","5.8","154","301.2987",,
"1780649780.988",,,,"5.947",
"1780649781.01","5.824","123","378.7968",,
"1780649781.024",,,,"5.992",
"1780649781.046","5.839","153","305.3072",,
"1780649781.06",,,,"5.954",
"1780649781.082","5.797","157","295.3885",,
"1780649781.096",,,,"5.913",
"1780649781.118","5.764","149","309.4765",,
"1780649781.132",,,,"5.879",
"1780649781.154","5.736","143","320.8951",,
"1780649781.168",,,,"5.882",
"1780649781.19","5.746","136","338",,
"1780649781.204",,,,"5.912",
"1780649781.226","5.773","139","332.259",,
"1780649781.24",,,,"5.943",
"1780649781.262","5.847","96","487.25",,
"1780649781.276",,,,"5.774",
"1780649781.298","5.528","246","179.7724",,
"1780649781.313",,,,"5.65",
"1780649781.334","5.557","93","478.0215",,
"1780649781.348",,,,"5.668",
"1780649781.37","5.523","145","304.7173",,
"1780649781.384",,,,"5.755",
"1780649781.406","5.683","72","631.4445",,
"1780649781.42",,,,"5.842",
"1780649781.442","5.536","306","144.732",,
"1780649781.456",,,,"5.615",
"1780649781.478","5.53","85","520.4706",,
"1780649781.492",,,,"5.616",
"1780649781.514","5.339","277","154.1949",,
"1780649781.528",,,,"5.395",
"1780649781.55","5.412","-17","-2546.8235",,
"1780649781.565",,,,"5.472",
"1780649781.586","5.253",,,,
"1780649781.587",,"219","191.8904",,
"1780649781.6",,,,"5.375",
"1780649781.622","5.355","20","2142",,
"1780649781.636",,,,"5.534",
"1780649781.658","5.472","62","706.0645",,
"1780649781.672",,,,"5.579",
"1780649781.694","5.483","96","456.9167",,
"1780649781.708",,,,"5.695",
"1780649781.73","5.515","180","245.1111",,
"1780649781.744",,,,"5.539",
"1780649781.766","5.289","250","169.248",,
"1780649781.78",,,,"5.435",
"1780649781.802","5.402","33","1309.5758",,
"1780649781.816",,,,"5.635",
"1780649781.838","5.482",,,,
"1780649781.839",,"153","286.6405",,
"1780649781.853",,,,"5.533",
"1780649781.874","5.322","211","201.782",,
"1780649781.888",,,,"5.407",
"1780649781.91","5.257",,,,
"1780649781.911",,"150","280.3733",,
"1780649781.925",,,,"5.487",
"1780649781.946","5.459","28","1559.7142",,
"1780649781.96",,,,"5.717",
"1780649781.982","5.774","-57","-810.386",,
"1780649781.996",,,,"5.968",
"1780649782.018","5.835","133","350.9774",,
"1780649782.032",,,,"5.949",
"1780649782.055","5.803","146","317.9726",,
"1780649782.069",,,,"5.93",
"1780649782.09","5.799","131","354.1374",,
"1780649782.104",,,,"5.937",
